ESTACIONES,MES,AÑO,PRECIP. MES (mm.),ANOMALIA RESPEC. PROMEDIO CLIMATOLOGICO,% RESPECTO PROMEDIO CLIMATOLOGICO,PREC. ACUM. AÑO AGRIC. (mm.),% RESPECTO PROMEDIO CLIMATOLOGICO,Tª  MÁXIMA ABSOL (ºC),Tª  MINIMA ABSOL. (ºC),TEMP. MEDIA DE MEDIAS (ºC),ANOMALIA (ºC)
AINSA,10,2019,177.6,71.1,166.8,200,100.2,29.9,5.4,15.3,1.6
AINSA,1,2019,38.2,-17.6,68.5,365,83.7,16.1,-6.1,3.6,-0.2
AINSA,3,2019,8.4,-41.6,16.8,378,72,23.3,-0.6,10.6,0.9
AINSA,5,2019,52.8,-49.9,51.4,558,77.5,27.7,-0.3,14.7,-1.8
AINSA,8,2019,60.2,1,101.7,675,73.5,36.6,12.3,24.4,1.2
AINSA,9,2019,22.4,20.3,24,22.4,24,31.3,8.4,20.3,2.1
AINSA,11,2019,102.6,6.9,107.2,302.6,102.4,17.6,-3.2,7.3,-0.8
AINSA,2,2019,4.6,-34.1,11.9,369.6,77.8,22.6,-4.7,7.9,2.1
AINSA,12,2019,108,23.1,127.2,410.6,108,15.4,-1.8,6.7,2.3
AINSA,4,2019,127.2,35.1,138.1,505.2,81.9,23.2,-1.7,11.4,-0.1
AINSA,6,2019,22.4,-52,30.1,580.4,73.1,40.4,4.3,21.2,0.9
AINSA,7,2019,34.4,-30.2,53.3,614.8,71.6,39,13,25.2,2.1
ALBARRACÍN,12,2019,38.4,4.5,113.3,143,99.9,17.7,-4.8,6.4,3
ALBARRACÍN,4,2019,94.8,52.9,226.3,383,152.6,21.1,-3.3,8.2,-0.5
ALBARRACÍN,11,2019,30.4,0.6,102,104.6,95.8,19.8,-3.2,6.8,0.4
ALBARRACÍN,1,2019,4.6,-18.3,20.1,260.4,156.9,15.2,-9,3,0.1
ALBARRACÍN,2,2019,4.2,-16.2,20.6,264.6,142,21.3,-4.8,5.9,1.5
ALBARRACÍN,3,2019,23.4,0.7,103.1,288.2,137.8,23,-5.6,7.3,0.4
ALBARRACÍN,5,2019,17.2,-41.9,29.1,400.2,129.1,27.1,-0.9,12.5,-0.3
ALBARRACÍN,6,2019,2,-38.8,4.9,402.2,114.6,36.8,0.5,18.5,1.1
ALBARRACÍN,9,2019,43.2,6.1,116.4,43.2,116.4,31,4.5,17,0.7
ALBARRACÍN,7,2019,68.2,50.2,378.9,470.4,127.5,36.3,9.1,22.3,1.3
ALBARRACÍN,8,2019,20.4,-8.7,70.1,490.8,123.3,34.3,9.5,21.7,1
ALBARRACÍN,10,2019,31,-11.3,73.3,74.2,93.5,27.4,2.4,13.5,2.2
ALCAÑIZ,3,2019,8.3,-11.6,41.7,228,121.7,23.9,0,11.3,0.8
ALCAÑIZ,7,2019,20.4,4.6,129.1,315,101.1,40.3,13.1,25.9,2.2
ALCAÑIZ,8,2019,11,-14.3,43.5,326,96.8,39.7,13.2,24.7,1.2
ALCAÑIZ,12,2019,27.8,5.3,123.6,121.4,96.7,22.3,-4,8.5,2.4
ALCAÑIZ,9,2019,20.1,-13.2,60.4,20.1,60.4,31.4,9.4,20.3,1.3
ALCAÑIZ,1,2019,12,-11.4,51.3,216.4,145.3,15.4,-5.9,5.5,-0.1
ALCAÑIZ,2,2019,3.3,-15.3,17.7,219.7,131.2,23.2,-3.5,8.3,0.7
ALCAÑIZ,4,2019,35.9,2.5,107.5,263.9,119.5,24.8,-1.6,12.8,0.3
